predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	Abaza	Adyghe_West_Circassian	Aghul	Akhvakh_Northern	Albanian	Andi_Zilo	Arabic_Northern_Syrian	Arabic_South_Levantine_Nazareth	Arabic_Standard	Archi	Armenian_Eastern	Assyrian_Neo_Aramaic	Avar	Azerbaijani	Bafut	Bagvalal	Bambara	Bashkir	Basque	Belarusian	Bengali	Budugh	Bulgarian	Buriat	Catalan	Chechen	Chinese_Mandarin	Chirag	Chukchi	Chuvash	Croatian	Czech	Danish	Dargwa_Itsari	Dargwa_Kadar	Dargwa_Kaytag	Dargwa_Kubachi	Dargwa_Tsudakhar	Dargwa_Tsugni	Dutch	Enets_Forest	English	Erzya	Estonian	Evenki	Finnish	Finnish_Ingrian	French	Gascon	Gban	Georgian	German	Goo	Greek_Ancient	Greek_Modern	Guarani_Paraguayan	Guro	Hebrew_Modern	Hindi	Hungarian	Icelandic	Indonesian_Standard	Ingush	Irish	Italian	Japanese	Joola_Fonyi	Kalmyk	Karata	Kazakh	Khanty_Kazym	Khmer	Khoekhoe	Khwarshi	Komi_Permyak	Komi_Zyrian	Kpelle_Guinean	Kryz_Alik	Kryz_Ismayilli	Kryz_Proper	Kumyk	Kurdish_Sorani	Kurmanji_Northern_Kurdish	Lak_Quba	Latin	Latvian	Laz	Lezgian	Lezgian_Yargun	Lithuanian	Loma	Macedonian	Maltese	Mandinka	Maninka_Eastern	Mano	Mansi_Northern	Mari_Western	Mehweb	Mingrelian	Moksha	Nanai	Nivkh	Norwegian_Bokmal	Oromo_West_Central	Ossetic	Persian	Polish	Portuguese_Brazilian	Romani_Kalderash	Romanian	Russian	Rutul_Kina	Rutul_Mukhad	Rutul_Myukhrek	Rutul_Shin_Borch	Rutul_Shinaz	Saami_Skolt	Saami_South	Sagada	Serbian	Shughni	Slovak	Slovenian	Soninke	Spanish	Svan	Swedish	Tabasaran_Kandyk	Tagalog	Telugu	Tsakhur	Tswana	Turkish	Turoyo	Tuvinian	Twi	Udi	Udihe	Udmurt	Ukrainian	Ulcha	Uzbek	Wolof	Yakut	Yukaghir_Northern	Zazaki
41	bite	X (bite) Y	кусать	X (кусать) Y-а	ABS_IO	ABS_DAT	TR	ERG_LOC	TR	ERG_SUPER	TR	TR	TR	TR	TR	TR	ERG_LOC	TR	TR	TR	TR	TR	TR	TR	TR	ERG_LOC	TR	TR	TR	ERG_DAT	bei_SBJ	ERG_SUPER	TR	TR	TR	TR	TR	ABS_SUPER.LAT	NOM_SUPER	NOM_DATLAT	NOM_DAT	NOM_SUPER(LAT)	NOM_SUPER(LAT)	TR	TR	TR	TR	NOM_PART	TR	NOM_PART	NOM_PART	TR	TR	TR	ERG_DAT	TR	TR	TR	TR	TR	SBJ_ba	TR	TR	TR	TR	TR	ERG_DAT	SBJ_ar	TR	TR	TR	TR	ERG_CONT	TR	LOC_NOM	TR	TR	ERG_GEN1	TR	TR	TR	TR	TR	TR	TR	TR	TR	GEN_SUPLAT	TR	NOM_DAT	ERG_DAT	TR	TR	NOM_DAT	TR	TR	TR	TR	TR	TR	TR	TR	NOM_SUPER.LAT	ERG_DAT	TR	TR	TR	TR	TR	NOM_SUPER	TR	TR	TR	TR	TR	TR	ERG_INTER	ERG_DAT	ERG_DAT	ERG_DAT	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	ERG_DAT	TR	ERG_DAT	TR	TR	NOM_CONT	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а	ABS_LOCl	TR	ABS_SUBCONT.ELAT	NOM_golo	TR	NOM_CONT.EL	men_SBJ	TR	TR		NOM_ABL	SBJ_lab	NOM_EL	NOM_ABL	TR		SBJ_la	NOM_CAR	TR	TR	TR	NOM_PART	SBJ_ot		TR	ABS_LAT	TR	ABS_INTER.ELAT		NOM_CAR	NOM_bezGEN	NOM_oACC	TR	ABS_akkwal		NOM_INTEREL	NOM_INTERABL	NOM_akwar	NOM_INTER.ABL.DOWN	TR	NOM_CAR	TR	NOM_ABE	NOM_ELA		TR	TR	TR	TR	SBJ_la	TR	TR	TR	NOM_GEN			SBJ_ji	TR	TR	TR	TR	TR		TR	TR	TR	TR	NOM_ABL		NOM_ABL			TR	ABS_CONT.EL	NOM_ABE	NOM_ABE	SBJ_hu	GEN_NOM	NOM_EL	NOM_SUBEL	NOM_CAR	TR	TR		TR	TR	TR	ABS_SBEL	NOM_SUB/POSTEL	NOM_GEN	SBJ_ma	SBJ_bez	TR	SBJ_la	SBJ_la	SBJ_yi	NOM_CAR		NOM_CONT.EL	DAT_ERG		TR	TR	TR	TR	NOM_ABL	TR	TR	TR	TR	TR	NOM_GEN	ATTR_NOM	NOM_ADEL	NOM_ADEL	NOM_CONTEL	NOM_CONTEL	TR	TR		NOM_bezGEN	NOM.NO.CL_beOBL	NOM_oACC	NOM_brezGEN		TR	TR	TR	ABS_APUD.ELAT	LOC_ACT	TR	NOM_CAR	SBJ_ke	TR	TR	NOM_NOM(NO.AGR)	TR	ABS_CAR		NOM_ABE	TR	NOM_CARIT	NOM_CAR	TR		NOM_NEG	
43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	NOM_PART	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR		TR	TR	TR			TR	TR	SBJ_ar	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR		TR	TR		TR	TR
44	break	X (break) Y	ломать	X (ломать) Y	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SUB_ba	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
45	flatter	X (flatter) Y	льстить	X (льстить) Y-у		ABS_LOC	ERG_DAT	TR	NOM_DAT		SBJ_l	TR	TR		NOM_DAT	SBJ_ka	TR	NOM_DATLAT	TR		TR	NOM_DAT	TR	NOM_pieradINS	TR	NOM_LOC	TR	NOM_DAT	SBJ_amb	TR	TR	ABS_GENsamate	ABS_ALL	NOM_omLOC	NOM_DAT	NOM_DAT	TR		NOM_SUPER	NOM_DATLAT				TR	NOM_DAT	TR		NOM_PART		NOM_PART		TR	TR	TR	NOM_DAT	NOM_DAT	TR	TR	TR	TR		SBJ_le	ERG_DAT	NOM_DAT	TR	TR	TR		TR	NOM_DAT	TR	NOM_DAT	ERG_DAT	NOM_DAT		TR	TR		NOM_DAT	NOM_vozin		NOM_DAT	NOM_SUPER	NOM_DAT	NOM_DAT	TR		GEN_SUPEL	NOM_DAT	NOM_DAT	TR	ERG_DAT	NOM_DAT	NOM_DAT		SBJ_DAT(na)	SBJ_lil	TR	TR			NOM_dono		ERG_DAT				TR	TR	NOM_DAT	NOM_pis.IZAF.NOM	NOM_DAT	TR		TR	NOM_DAT				ERG_DAT	NOM_DAT	TR	TR		NOM_DAT		NOM_DAT	NOM_DAT	TR	TR	NOM_DAT	TR	ERG_DAT	TR	TR	ERG_DAT		TR		NOM_DAT	TR	TR			NOM_DAT		TR	TR	NOM_DAT		TR
46	love#person#	X (love) Y	любить#человека#	X (любить) Y-а (сына)	TR	TR	DAT_ABS	DAT_NOM	TR	AFF_NOM	TR	TR	TR	DAT_NOM	TR	TR	DAT_NOM	TR	TR	DAT_NOM	TR	TR	TR	TR	TR	DAT_NOM	TR	NOM_DAT	TR	DAT_ABS	TR	SUPER_ABS	TR	TR	TR	TR	TR	SUPER.LAT_ABS	DAT_NOM	DATLAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	SBJ_van	TR	TR	TR	NOM_PART	TR	NOM_PART	NOM_PART	TR	TR		DAT_NOM	TR	gi_POSS.SBJ	TR	TR	TR		TR	ERG_ABL	TR	TR	SBJ_pada	DAT_NOM	aige_do(PREP)	TR		TR	TR	DAT_NOM	TR	TR	TR	TR	DAT_ABS	TR	TR		DAT_NOM	DAT_NOM	DAT_NOM	TR		SBJ.TR_jiOBL	DAT_NOM	TR	TR	TR	DAT_ABS	DAT_NOM	TR	be_SBJ	TR	TR	TR	nye_SBJ	SBJ_ka	TR	TR	DAT_NOM	DAT_NOM	TR	TR	TR	TR	TR	TR	TR	TR	TR	NOM_pala	TR	TR	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	TR	TR	DAT_ABS	TR	TR	TR	TR	TR	TR	DAT_NOM	TR	DAT_ABS	TR	TR	DAT_NOM	TR	TR	TR	NOM_DAT	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	SBJ.TR_ra.PSTP
47	wave	X (wave) Y	махать	X (махать) Y-ом	TR	ERG_INSTR.CASE	TR	TR	TR	NOM_INST	SBJ_b	TR	NOM_biGEN	TR	NOM_INS	TR	TR	TR	TR	TR		TR	TR	NOM_INS	TR	TR	SBJ_s	NOM_INSTR	TR	TR	TR	TR	ABS_INS	NOM_INS	NOM_INS	NOM_INS	SBJ_med	ABS_ERG	NOM_AD	NOM_ERG	TR	NOM_ERG/LOC(LAT)	TR	SBJ_met	NOM_LOC	TR	NOM_INE	NOM_COM	NOM_INSTR	NOM_PART	NOM_AD	TR	TR	TR	TR	TR		TR	NOM_meACC		TR	SBJ_be	TR	NOM_INS	TR	TR	TR	TR	TR	TR	TR	NOM_INSTR	TR	NOM_INS	NOM_LOC	TR	TR	TR	NOM_INS	NOM_INS		TR	TR	TR	TR	TR	TR	TR	TR	NOM_arACC	TR	TR	TR	NOM_INS	TR	SBJ_so	TR	TR	TR	TR	NOM_INS	NOM_gisan	NOM_COM	TR	NOM_IN/marxta	NOM_INS		SBJ_med	TR	NOM_ABL	TR	NOM_INS	SBJ_com	NOM_INS	NOM_din	NOM_INS	TR	TR	TR	TR	TR	TR	NOM_COM	TR	NOM_INS	NOM.CL_INS	NOM_INS	NOM_zINS	TR	TR	TR	SBJ_med	TR	TR	TR	TR	TR	TR	TR	NOM_COM	TR	ERG_ERG(NON.CORE)	NOM_INS	NOM_INS	NOM_INS	NOM_INS	NOM_bilan	TR	NOM_INS	TR	TR
48	dream	X (dream) of Y	мечтать	X (мечтать) об Y-е	ABS_BEN	ABS_LOC.BEHIND		NOM_NOM(NO.AGR)	NOM_perACC	GEN_NOM	SBJ_b	SBJ_bi	NOM_biGEN	DAT_NOM	NOM_DATmasin				TR			NOM_turahenda	TR	NOM_praACC		NOM_LOC	SBJ_za	NOM_tuxai	SBJ_en		TR	SUPER_ABS	TR	NOM_cinABL	NOM_oLOC	NOM_oLOC	SBJ_om	ABS_CONT	NOM_SUPER		DAT_NOM		NOM_SUPER(LAT)	SBJ_van		SBJ_of	NOM_ABL	NOM_ELA	NOM_ACC.INDEF	NOM_ELA	NOM_EL	SBJ_de	SBJ_a		ERG_DAT.SUPERESS/SUPERLAT	NOM_vonDAT	SBJ_ka	NOM_GEN	TR			SBJ_al	ERG_GEN	NOM_DEL	ACC_umACC	TR	ERG_ABL	SBJ_mar.gheall.ar	TR	TR	TR		NOM_LOC	NOM_turaly	NOM_NOMolenen	SBJ_dal	SBJ_xa		NOM_jylis	NOM_jilis	SBJ_a		DAT_NOM	TR	NOM_DAT	SBJ.TR_be.we		NOM_SUPEL	TR		ERG_ABL	ERG_SBEL	TR	NOM_apieACC		SBJ_za	SBJ_b	SBJ_la	SBJ_ko	SBJ_ka		NOM_gisan	GEN_SUPER.LAT	ERG_ABL		TR		SBJ_om	TR	NOM_ALL		NOM_oLOC	SBJ_com		NOM_la	NOM_oLOC		NOM_APUD	ERG_CONTEL	ATTR_NOM	NOM_ATTR	NOM_GENdiott	NOM_GENbijre	ABS_CONT	NOM_oLOC		NOM_oLOC	NOM_oLOC		SBJ_con	NOM_DAT	SBJ_om	ERG_CONT.ELAT	TR	NOM_OBLgurinci		SBJ_ka		SBJ_m	NOM_GENdugajynda	SBJ_ho			NOM_NOMsaris	NOM_proACC	TR	TR	TR			TR
49	wash	X (wash) Y	мыть	X (мыть) Y	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
50	put_on	X (put_on) Y	надевать	X (надевать) Y	LOCsERG_ABS	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR		TR	TR	TR	NOM_iACC	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
51	be_called	X (be_called) Y	называться	X (называться) Y		DAT_ABS	GEN_NOM(NO.AGR)	LAT_NOM(NO.AGR)	NOM_NOM(NO.AGR)	SUPER.LAT_NOM	EXT_BARE	EXT_BARE	NOM_NOM(NO.AGR)	SUP.LAT_NOM	NOM_NOM(NO.AGR)	BARE_PRED	LOC_NOM(NO.AGR)	NOM_NOM(NO.AGR)	DO_COMP	SUPLAT_NOM		NOM_tip	ABS_ABS(NO.AGR)	NOM_INS	GEN_NOM	ADR_NOM	SBJ_BARE	NOM_gezhe	SBJ_PRED	GEN_ABS(NO.AGR)	TR	SUPER_ABS(NO.AGR)	ABS_EQU	OBJ_NOM(NO.AGR)	NOM_NOM(NO.AGR)	NOM_NOM(NO.AGR)	TR	SUPER.LAT_ABS(NO.AGR)	DAT_NOM(NO.AGR)	SUPER_NOM(NO.AGR)		NOM_NOM(NO.AGR)	SUPER(LAT)_NOM(NO.AGR)	SBJ_PRED		SBJ_BARE		PART_TRANSL	POSS_NOM	PART_TRANS	NOM_TRL	SBJ_BARE	SBJ_BARE	DO_BARE	DAT_NOM	NOM_NOM(NO.AGR)	DO_POSTVERBAL.NP		NOM_NOM(NO.AGR)	ACT_rupi		le_DO	DAT_DIR	ACC_DAT	NOM_NOM(NO.AGR)	EXT_BARE	NOM_LAT	ar_SBJ	SBJ_BARE(NO.AGR)	NOM_CONTR		NOM_gidh	LAT_NOM(NO.AGR)	NOM_dep			SBJ_ti	SUPER_ABS	NOM_NOM(NO.AGR)	NOM_INS		SUPEREL_NOM(NO.AGR)		GEN_NOM(NO.AGR)	DAT_dep	DO_QUOT	jiOBLre_SBJ.INTR	SUPLAT_QUOT	NOM_NOM(NO.AGR)	ACC_parACC	DAT_NOM	DAT_ABS	DAT_NOM(NSBJ)	NOM_NOM(NO.AGR)		SBJ_BARE	DO_BARE		ma_SBJ&QUOT	lee_BARE	NOM_TRANS	NOM_NOM(NO.AGR)	SUPER.LAT_ile	DAT_NOM	DAT_NOM(NO.AGR)	NOM_INS	TR	TR	NOM_BARE	NOM_NOM(NO.AGR)	beNOM_ACC	NOM_NOM(NO.AGR)	SBJ_BARE	NOM_NOM(NO.AGR)	NOM_NOM(NO.AGR)	NOM_INS	ATTR_NOM(NO.AGR)	APUD_NOM(NO.AGR)		DIR_NOM	ATTR_NOM(NO.AGR)	ACC_ESS	ACC_NOM		NOM_NOM(NO.AGR)		NOM_NOM(NO.AGR)	NOM_NOM(NO.AGR)		SBJ_PRED	DAT_NOM	TR	ABS_ABS(NO.AGR)	UND_LIN	ACC_NOM		SBJ_OBL	GEN_PRED	IO_DO	ACC_NOM(NO.AGR)	DO_PSEUDOOBJ			NOM_NOM(NO.AGR)	NOM_NOM(NO.AGR)		NOM_deb	OBJ_PSEUDOOBJ	NOM_NOM(NO.AGR)	ACC_NOM	re.PSTP_BARE
52	punish	X (punish) Y	наказывать	X (наказывать) Y-а		ERG_LOC.TOP	TR	ERG_DAT	TR		TR	TR	TR	TR	TR	SBJ_ka	ERG_DAT	TR			TR	TR	TR	TR	TR	ERG_DAT	TR	TR	TR		TR	ERG_SUPER	TR	TR	TR	TR	TR		ERG_DAT	TR	TR		TR	TR		TR	TR	NOM_PART		NOM_PART	NOM_PART	TR	TR	SBJ_la	TR	TR		TR	TR	TR		TR	ERG_DAT	TR	NOM_DAT	TR		SBJ_ar	TR	TR		TR	ERG_DAT	NOM_DAT		SBJ_dal	TR	ABS_CONT.LAT	TR	TR		TR	TR	ERG_DAT	NOM_DAT	TR	TR	TR	TR	TR		TR	ERG_DAT	TR	SBJ_ma	TR	TR		SBJ_la			TR	ERG_DAT			TR		TR	TR	TR	TR	TR	TR		TR	TR		ERG_DAT		ERG_DAT	ERG_DAT		TR		TR	TR	TR	TR		TR		TR	TR	TR	TR	ERG_DAT	TR	TR	TR	NOM_DAT		TR		TR	TR		TR	TR	TR	TR	SBJ.TR_GOAL
53	attack	X (attack) Y	напасть	X (нападать) на Y-а	ABS_LOCgwekwe	ABS_LOC.TOP	ABS_SUPER	NOM_LAT	TR	NOM_SUPER.LAT	SBJ_3ala	SBJ_ala	TR	NOM_SUP.LAT	NOM_DATvra	SBJ_al	NOM_LATtade	NOM_DATLAT	TR		SBJ_kan	NOM_DAT	ERG_DAT	NOM_naACC	TR	ERG_LOCada	TR	NOM_DAT	TR	ABS_DAT	bei_SBJ	ABS_SUPER	TR	TR	TR	TR	TR	ABS_SUPER.LAT	NOM_SUPER	NOM_DATLAT	NOM_DAT	NOM_SUPER(LAT)	NOM_SUPER(LAT)	TR		TR	NOM_langILL	NOM_PART	NOM_DIR	NOM_GENkimppuun	NOM_GENpialle	TR	SBJ_sus		NOM_DAT	TR	SBJ_ta	NOM_DAT	NOM_seACC	TR	SBJ_ta	TR	ERG_OBLpar	TR	NOM_aACC	TR	NOM_DAT	TR	TR	TR	TR	NOM_DIR	NOM_DAT	NOM_DAT	NOM_DAT		TR	ABS_SUPER	NOM_vylo	NOM_vile	SBJ_bha	NOM_GEN7adig	NOM_INESSadean	ERG_INLAT	NOM_DAT			NOM_SUPLAT	TR	NOM_DAT	NOM_DAT	ERG_SRESS	ERG_SUP	TR	TR	TR	TR	TR	SBJ_kan	SBJ_mo	NOM_NOMlalt	NOM_veke	NOM_SUPER.LAT	ERG_DAT	NOM_lanks	NOM_DIR	TR	TR	TR	NOM_ALL	NOM_beNOM	NOM_naACC	TR	NOM_pe	TR	NOM_naACC	NOM_SUP	NOM_APUD	NOM_SUPER	NOM_SUPER	ERG_APUD	NOM_GENool	TR	ERG_SUPER	TR	NOM.CL_SUP	TR	TR	SBJ_yi	TR	NOM_DAT	TR	ABS_SUPER	TR	NOM_OBLmidaki	NOM_LAT	TR	NOM_DAT	SBJ.SS_7al	NOM_ALL1	SBJ_so	ERG_GENloxol	NOM_DIR	NOM_NOMvile	NOM_naACC	NOM_LAT	NOM_DAT	TR	NOM_DAT	TR	
54	fill#intr#	X (fill) with Y	наполняться	X (наполняться) Y-ом	IO_ABS	LOC.CONT_ABS	ABS_ERG	NOM_POSS	NOM_meACC	NOM_ERG	TR	TR	NOM_biGEN	NOM_ERG	NOM_INS	TR	NOM_GEN	NOM_ile	SBJ_ni	NOM_GEN	SBJ_la	NOM_menan	ABS_INS	NOM_INS	NOM_LOC/INS	NOM_COM	SBJ_s	NOM_INSTR	SBJ_de	ABS_LAT	li_SBJ	ABS_GEN	ABS_INS	NOM_INS	NOM_INS	NOM_INS	SBJ_med	ABS_GEN	NOM_ERG	NOM_ERG	NOM_ERG(NON.CORE)	NOM_ERG/LOC(LAT)	NOM_ERG	SBJ_met	NOM_DAT	SBJ_with	NOM_ABL	NOM_COM	NOM_INSTR	NOM_ADE	NOM_AD	SBJ_de	SBJ_de	DO_SBJ	NOM_INS	NOM_mitDAT	SBJ_ka	NOM_GEN	TR		SBJ_ya	SBJ_be	DIR_ABL	NOM_INS	NOM_afDAT	SBJ_BARE	NOM_LAT	SBJ_le	SBJ_di	NOM_INSTR	TR	NOM_INSTR	NOM_POSS	NOM_DAT	NOM_LOC	TR	SBJ_xa	ABS_GEN1	NOM_INS	NOM_INS		NOM_INS	NOM_INESS.INS	NOM_GENqan	NOM_ABL	SBJ.INTR_le	SBJ.INTR_BARE	NOM_GEN	NOM_ABL	NOM_arACC	NOM_INS	ABS_ADESS	NOM_AD	NOM_GEN	SBJ_ga	SBJ_so	SBJ_b	SBJ_la	SBJ_la			NOM_dono	NOM_GEN	ERG_INS	NOM_ABL/ezda	NOM_INS	SBJ_INS	SBJ_av	NOM_INS	NOM_ABL	NOM_azNOM	NOM_INS	SBJ_de	NOM_NOM(NO.AGR)	NOM_cu	NOM_INS	NOM_ERG	NOM_ERG	NOM_ERG	NOM_ERG	NOM_ERG	NOM_LOC	NOM_ELA	ABS_GEN1	NOM_INS	NOM.NO.CL_INS	NOM_INS	NOM_zINS	SBJ_yi	SBJ_de	NOM_INS	SBJ_med	ABS_ERG	UND_ACT	NOM_COM	NOM_ERG	SBJ_ka	NOM_COM	SBJ.SS_BARE	NOM_COM	mu_SBJ	ABS_ERG(NON.CORE)	ACC_NOM	NOM_INS	NOM_INS		NOM_DAT	SBJ_ak	NOM_INS	NOM_INS	SBJ.INTR_ra.PSTP
55	find	X (find) Y	находить	X (находить) Y(-а)	TR	TR	DAT_ABS	DAT_NOM	TR	AFF_NOM	TR	TR	TR	DAT_NOM	TR	TR	LOC_NOM	TR	TR	AFF_NOM	TR	TR	TR	TR	TR	TR	TR	TR	TR	DAT_ABS	TR	SUPER_ABS	TR	TR	TR	TR	TR	TR	TR	TR	DAT_NOM	DAT_NOM	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	DAT_DIR	TR	TR	TR	DAT_NOM	TR	TR	TR	TR	TR	DAT_NOM	TR	TR		TR	DAT_ABS	TR	TR	TR	TR	TR	TR	TR	TR	TR	DAT_NOM	TR	TR	TR	DAT_ABS	DAT_NOM	TR	TR	TR	TR	TR	TR	TR	TR	TR	CONT.LAT_NOM	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	APUD.EL_NOM	AD_NOM	DAT_NOM	AD_NOM	TR	TR	TR	DAT_ABS	TR	TR	TR	TR	TR	TR	TR	TR	DAT_ABS	TR	DAT_NOM	ADLAT_NOM	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR	TR
56	be_short	X (be short) Y	недоставать	X-у (недоставать) Y-a	IO_ABS	BEN_ABS	DAT_ABS	DAT_NOM	DAT_NOM	DAT_NOM	EXT&DO_SBJ	TR	ACC_NOM	DAT_NOM	DAT_NOM	ka_SBJ	DAT_NOM	GEN_NOM	SBJ_ni	DAT_NOM			DAT_ABS	DAT_GEN	GEN_NOM	DAT_NOM	DAT(na)_SBJ	DAT_NOM	NDIR.OBJ_SBJ	DAT_ABS	TR	GEN_ABS	POSS_ABS	OBJ_NOM	DAT_NOM	DAT_NOM	TR	GEN_ABS	DAT_NOM	DATLAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	TR	TOP_NOM	TR	DAT_NOM	ADESS_NOM	DAT_NOM	ABL_NOM		NDIR.OBJ_SBJ	NDIR.OBJ_SBJ	nen_SBJ	DAT_NOM	DAT_NOM		NOM_GEN	GEN_NOM	INACT_ZERO		le_SBJ	OBLke.pas_DIR	DAT_INS	ACC_ACC	TR	DAT_NOM	SBJ_BARE	NDIR.OBJ_SBJ	TOP_NOM		DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	TR	TR	DAT_ABS	DAT_NOM	DAT_NOM		GEN_NOM	INESS_NOM	DAT_NOM	GEN_NOM	EXT_SBJ.INTR	IO_SBJ.INTR	DAT_NOM	DAT_NOM	DAT_GEN	DAT_NOM	DAT_ABS	DAT_NOM	DAT_GEN		DAT(na)_SBJ	TR	OBJ_SBJ		kele_ka	NOM_INS	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM(NO.AGR)		TR	TR	DAT_NOM	TR	DAT_GEN	para_SBJ	LOC_NOM(NO.AGR)	DAT_NOM	DAT_GEN	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM	DAT_NOM		TR	DAT_ABS	DAT_NOM	LAT_NOM.NO.CL	DAT_NOM	DAT_NOM	yi_SBJ	NDIR.OBJ_SBJ	DAT_NOM	TR	DAT_ABS	UND_ACT	OBLdaggara_NOM	DAT_NOM	TR	GEN_NOM	OBJAGR_BARE	DAT_NOM(NO.AGR)	TR	GEN_ABS	DAT_NOM	GEN_NOM	DAT_GEN	DAT_DAT	DAT_NOM	TR	DAT_NOM	DAT_NOM	
